"region","household","membernumb","age","sex","peoplivinghh","languageofinterview","longwaitingtime","lackofnursingstaff","lackofrespect","lackofdrugsupply","tooexpenscantpay","someonehhneedcsps","stat_csps","religioncm","mainsourcehhincome","hhreceiveservic","attendedschool"
"Plateau-Central",3,8,54,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",3,3,26,"male",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",3,7,13,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","frequent"
"Plateau-Central",3,16,21,"male",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",3,15,14,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","frequent"
"Plateau-Central",3,17,20,"male",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","previousely attended"
"Plateau-Central",3,4,23,"male",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","frequent"
"Plateau-Central",3,2,49,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",3,1,79,"male",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",3,11,51,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",3,9,22,"male",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",3,10,16,"male",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","frequent"
"Plateau-Central",3,13,21,"Female",17,"Moore","Yes","No","No","No","Yes","yes","intervention","Protestantism","agriculture","no","frequent"
"Plateau-Central",4,3,23,"Female",6,"Moore","No","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",4,4,23,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",4,2,41,"Female",6,"Moore","No","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",4,1,48,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",5,5,9,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",5,1,56,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",5,4,15,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","agriculture","no","previousely attended"
"Plateau-Central",5,3,17,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",5,2,47,"Female",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",5,6,7,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",6,6,21,"male",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",6,3,36,"Female",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",6,2,41,"Female",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",6,1,76,"male",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",6,10,11,"Female",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",6,4,24,"Female",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",6,9,15,"Female",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",6,13,9,"male",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",6,11,8,"Female",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",6,5,19,"male",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",6,12,9,"Female",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",6,8,17,"Female",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",6,7,18,"male",15,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",7,5,7,"Female",5,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","Small business Service ","no","never attended"
"Plateau-Central",7,4,9,"male",5,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","Small business Service ","no","never attended"
"Plateau-Central",7,3,10,"Female",5,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","Small business Service ","no","frequent"
"Plateau-Central",7,1,34,"male",5,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","Small business Service ","no","never attended"
"Plateau-Central",7,2,30,"Female",5,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","Small business Service ","no","never attended"
"Plateau-Central",8,2,23,"Female",4,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",8,1,26,"male",4,"Moore","Yes","Yes","Yes","Yes","Yes","yes","intervention","Protestantism","agriculture","no","never attended"
"Plateau-Central",10,4,35,"Female",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","never attended"
"Plateau-Central",10,1,70,"male",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","never attended"
"Plateau-Central",10,2,61,"Female",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","never attended"
"Plateau-Central",10,7,14,"Female",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","frequent"
"Plateau-Central",10,9,8,"Female",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","never attended"
"Plateau-Central",10,8,8,"male",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","never attended"
"Plateau-Central",10,6,14,"Female",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","frequent"
"Plateau-Central",10,5,16,"male",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","previousely attended"
"Plateau-Central",10,3,58,"Female",10,"Moore","Yes","No","Yes","No","Yes","yes","intervention","Catholic","agriculture","yes","never attended"
"Plateau-Central",12,3,42,"Female",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",12,12,77,"Female",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",12,2,52,"Female",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",12,11,17,"Female",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",12,8,10,"Female",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",12,6,8,"male",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",12,5,14,"male",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",12,1,54,"male",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","previousely attended"
"Plateau-Central",12,4,21,"male",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",12,7,10,"male",12,"Moore","Yes","Yes","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",13,2,27,"Female",4,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",13,1,50,"male",4,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",14,3,31,"Female",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",14,12,8,"Female",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",14,4,26,"Female",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",14,8,7,"male",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",14,2,41,"Female",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",14,1,49,"male",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",14,6,10,"Female",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",14,7,9,"male",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",14,5,16,"male",13,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",15,3,11,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","Small business Service ","no","frequent"
"Plateau-Central",15,4,9,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","Small business Service ","no","never attended"
"Plateau-Central",15,2,30,"Female",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","Small business Service ","no","never attended"
"Plateau-Central",15,1,33,"male",6,"Moore","No","No","No","No","Yes","yes","intervention","Catholic","Small business Service ","no","never attended"
"Plateau-Central",16,3,26,"Female",7,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",16,4,7,"Female",7,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",16,2,18,"Female",7,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",16,1,29,"male",7,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","previousely attended"
"Plateau-Central",18,3,24,"Female",6,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","mining","no","never attended"
"Plateau-Central",18,2,27,"Female",6,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","mining","no","never attended"
"Plateau-Central",18,1,33,"male",6,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","mining","no","previousely attended"
"Plateau-Central",19,1,55,"male",7,"Moore","Yes","No","No","No","No","yes","intervention","Catholic","mining","no","never attended"
"Plateau-Central",19,5,7,"Female",7,"Moore","Yes","No","No","No","No","yes","intervention","Catholic","mining","no","never attended"
"Plateau-Central",19,4,10,"Female",7,"Moore","Yes","No","No","No","No","yes","intervention","Catholic","mining","no","never attended"
"Plateau-Central",19,3,12,"Female",7,"Moore","Yes","No","No","No","No","yes","intervention","Catholic","mining","no","frequent"
"Plateau-Central",19,7,56,"male",7,"Moore","Yes","No","No","No","No","yes","intervention","Catholic","mining","no","never attended"
"Plateau-Central",20,3,13,"male",6,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","frequent"
"Plateau-Central",20,2,31,"Female",6,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",20,1,36,"male",6,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",20,4,11,"Female",6,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",20,5,7,"Female",6,"Moore","Yes","No","No","No","Yes","yes","intervention","Islam","agriculture","no","never attended"
"Plateau-Central",1,8,14,"male",8,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",1,1,72,"male",8,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",1,4,16,"Female",8,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",1,3,12,"Female",8,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",1,2,46,"Female",8,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",1,7,13,"male",8,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","previousely attended"
"Plateau-Central",2,7,61,"Female",10,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",2,8,21,"Female",10,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",2,2,34,"Female",10,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",2,9,22,"male",10,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",2,5,15,"Female",10,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",2,1,36,"male",10,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",2,6,8,"Female",10,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",3,2,28,"Female",4,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",3,1,34,"male",4,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","previousely attended"
"Plateau-Central",4,6,17,"male",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",4,5,15,"male",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",4,1,60,"male",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",4,7,27,"male",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",4,3,10,"male",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",4,8,20,"Female",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",4,4,12,"Female",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",4,2,48,"Female",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",5,2,20,"Female",5,"Moore","Yes","Yes","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",5,1,32,"male",5,"Moore","Yes","Yes","No","Yes","Yes","yes","other","Islam","agriculture","no","previousely attended"
"Plateau-Central",5,5,13,"male",5,"Moore","Yes","Yes","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",5,4,56,"Female",5,"Moore","Yes","Yes","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",6,1,34,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",6,2,28,"Female",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","previousely attended"
"Plateau-Central",6,6,10,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",7,7,12,"Female",9,"Moore","Yes","No","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",7,2,33,"Female",9,"Moore","Yes","No","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",7,8,46,"Female",9,"Moore","Yes","No","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",7,1,35,"male",9,"Moore","Yes","No","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",7,5,7,"male",9,"Moore","Yes","No","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",7,6,10,"Female",9,"Moore","Yes","No","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",8,1,58,"male",3,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",8,2,49,"Female",3,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",8,3,10,"male",3,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",9,2,43,"Female",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","never attended"
"Plateau-Central",9,9,31,"Female",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","previousely attended"
"Plateau-Central",9,4,9,"Female",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","frequent"
"Plateau-Central",9,5,12,"Female",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","previousely attended"
"Plateau-Central",9,1,47,"male",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","previousely attended"
"Plateau-Central",9,3,7,"Female",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","never attended"
"Plateau-Central",9,6,14,"male",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","frequent"
"Plateau-Central",9,7,16,"Female",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","frequent"
"Plateau-Central",9,8,21,"male",9,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","yes","frequent"
"Plateau-Central",10,2,29,"Female",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",10,1,37,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",10,5,7,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",10,6,10,"Female",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",12,5,13,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",12,4,10,"Female",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",12,6,15,"Female",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",12,1,49,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",12,2,32,"Female",6,"Moore","Yes","No","No","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",13,2,52,"Female",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",13,14,13,"Female",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",13,9,14,"Female",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",13,13,7,"Female",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",13,7,9,"male",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",13,4,46,"Female",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",13,1,54,"male",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",13,8,11,"Female",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",13,10,27,"Female",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","previousely attended"
"Plateau-Central",13,3,13,"male",14,"Moore","Yes","Yes","Yes","Yes","Yes","yes","other","Islam","agriculture","no","frequent"
"Plateau-Central",14,2,49,"Female",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","never attended"
"Plateau-Central",14,8,26,"male",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","previousely attended"
"Plateau-Central",14,6,19,"Female",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","previousely attended"
"Plateau-Central",14,7,21,"Female",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","never attended"
"Plateau-Central",14,1,58,"male",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","never attended"
"Plateau-Central",14,3,12,"Female",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","frequent"
"Plateau-Central",14,5,16,"Female",8,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","frequent"
"Plateau-Central",16,2,48,"Female",6,"Moore","Yes","No","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",16,1,47,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",16,3,7,"Female",6,"Moore","Yes","No","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",16,5,14,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",16,4,11,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","frequent"
"Plateau-Central",16,6,17,"male",6,"Moore","Yes","No","No","Yes","Yes","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",17,2,25,"Female",2,"Moore","Yes","Yes","Yes","No","Yes","yes","other","Catholic","agriculture","no","never attended"
"Plateau-Central",17,1,29,"male",2,"Moore","Yes","Yes","Yes","No","Yes","yes","other","Catholic","agriculture","no","never attended"
"Plateau-Central",18,2,24,"Female",4,"Moore","No","No","No","No","No","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",18,1,31,"male",4,"Moore","No","No","No","No","No","yes","intervention","Catholic","agriculture","no","never attended"
"Plateau-Central",20,6,13,"male",9,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","frequent"
"Plateau-Central",20,7,32,"Female",9,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","never attended"
"Plateau-Central",20,1,37,"male",9,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","previousely attended"
"Plateau-Central",20,2,34,"Female",9,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","never attended"
"Plateau-Central",20,5,7,"male",9,"Moore","Yes","No","No","Yes","Yes","yes","other","Catholic","agriculture","no","frequent"
"Plateau-Central",1,2,51,"Female",6,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","no","never attended"
"Plateau-Central",1,1,58,"male",6,"Moore","No","No","No","No","No","yes","other","Islam","agriculture","no","previousely attended"
